Date,Heading,Content
10T05:00:18.754Z/12/2024,Brussels probes Google and Meta secret ads deal to target teens,"Regulators request information after FT investigation into partnership that skirted search giant""s rules on minors"
07T12:00:33.004Z/12/2024,Meta rolls out internal AI tool as it pushes into business market,"Social media group targets burgeoning artificial intelligence sector as it develops ""Metamate"" workplace assistant"
04T12:12:37.239Z/12/2024,"Polish billionaire seeks support for ""deepfake"" scams lawsuit against Meta",InPost founder Rafał Brzoska wants 150 prominent figures to join move against Facebook parent over AI-created images
03T13:00:57.825Z/12/2024,"Meta""s Zuckerberg seeks ""active role"" in Trump tech policies","Policy chief Nick Clegg says social media company ""overdid it"" on content moderation, as it seeks to placate president-elect"
23T13:00:00.851Z/11/2024,"Meta loses ground to Bluesky as users abandon Elon Musk""s X ","Social media giant""s Threads app makes changes as smaller competitor to X surges"
14T13:31:55.749Z/11/2024,Meta fined nearly €800mn for breaking EU law over classified ads practices,"Facebook is undermining rivals by ""tying"" its free Marketplace services with the social network, Brussels says"
11T13:13:46.127Z/11/2024,How weight loss drugs took over Instagram,Studies show strong links between photo-centric social media and eating disorder pathology 
04T11:00:01.195Z/11/2024,"Meta""s plan for nuclear-powered AI data centre thwarted by rare bees",Environmental issue disrupts search for energy deals amid a Big Tech race over artificial intelligence
01T14:40:39.216Z/11/2024,"Wall Street frets over Big Tech""s $200bn AI spending splurge",The four biggest US internet groups this week showed glimpses of benefits but warned of increased spending
01T09:31:56.292Z/11/2024,Silicon Valley super-spenders leave too much in the cloud Premium content,"Amazon, like its peers, is fuzzy on its investment plans, and the potential payback"
01T05:00:08.991Z/11/2024,EssilorLuxottica bets on glasses replacing smartphones as value hits €100bn ,Eyewear giant chief Francesco Milleri says wearable technology developed with Meta will fuel growth 
31T16:24:55.402Z/10/2024,Meta sees AI spending accelerating as earnings top forecasts,"Mark Zuckerberg cites the potential for ""strong"" returns in coming years on heavy investments in new technology"
30T23:36:35.935Z/10/2024,Meta and Microsoft pass their quarterly sanity-check Premium content,"Tech giants tout real wins today to justify huge investment tomorrow. Investors are supportive, to a point"
28T21:00:02.117Z/10/2024,"Evan Spiegel battles to revive Snap""s fortunes","Snapchat creator""s ambitions in augmented reality and online advertising hit by growing strength of arch-rival Meta"
24T04:00:57.856Z/10/2024,Meet Joelle Pineau: shaping AI as the world grapples with its potential,"Meta""s head of research into the technology explains the career path that led to weighing questions on society""s future"
17T04:00:24.437Z/10/2024,"Meta under fire for ""polluting"" open-source",Open Source Initiative chief criticises tech group for using the term to describe its Llama models
17T01:37:57.541Z/10/2024,Meta fires staff for abusing $25 meal credits,"Workers used benefits to buy acne pads, wine glasses and laundry detergent"
04T13:00:34.582Z/10/2024,"Meta debuts AI filmmaker in challenge to OpenAI""s Sora","Instagram and Facebook owner says new tools trump rivals"" but will not be widely available until next year at the earliest"
04T05:38:14.382Z/10/2024,Can Zuckerberg rise above the US political fray?,Meta chief seeks neutral stance ahead of US election but critics argue he is placating critics such as Trump 
03T16:07:16.568Z/10/2024,Revolut urges Meta to share cost of reimbursing fraud victims,Financial and tech groups at odds about how to tackle and pay for the problem
03T04:00:55.976Z/10/2024,Is nuclear energy the zero-carbon answer to powering AI?,"After decades of stagnation, the world""s biggest tech groups and banks are considering an alternative energy option"
02T08:00:20.027Z/10/2024,Meta expands data accord with UK banks in push to cut online fraud ,Tech group to roll out channel for sharing of transaction intelligence  
01T04:00:36.154Z/10/2024,"Alice Newton-Rex: ""WhatsApp makes people feel confident to be themselves""","The messaging platform""s director of product discusses privacy issues, AI and new features for the app""s 2bn users "
25T20:16:04.736Z/09/2024,"Meta unveils augmented reality glasses prototype ""Orion"" ","Mark Zuckerberg says lightweight AI-enabled device is the ""most advanced"" in the world"
18T04:00:49.181Z/09/2024,Meta faces hefty EU antitrust fine over classified ads practices,Brussels claims Facebook is breaking the law and undermining rivals with its free Marketplace services
